来源,工单编号,工单状态,接单时间,派单时间,维修时间,修复时间,现场分类,电网分类
电话,2897,已核实,2021/12/25 12:30,2021/12/25 12:30,2021/12/25 12:33,2021/12/25 13:05,郊区,荷兰电网
电话,2898,已核实,2021/12/25 12:28,2021/12/25 12:29,2021/12/25 12:50,2021/12/25 13:08,郊区,西班牙电网
电话,2899,已核实,2021/12/25 12:28,2021/12/25 12:28,2021/12/25 12:35,2021/12/25 13:09,城市,荷兰电网
电话,2900,已核实,2021/12/25 12:26,2021/12/25 12:27,2021/12/25 12:53,2021/12/25 12:55,城市,法国电网
电话,2901,已核实,2021/12/25 12:26,2021/12/25 12:26,2021/12/25 12:38,2021/12/25 12:51,郊区,丹麦电网
电话,2902,已核实,2021/12/25 12:25,2021/12/25 12:29,2021/12/25 12:37,2021/12/25 12:50,郊区,荷兰电网
网络,2903,已核实,2021/12/25 12:24,2021/12/25 12:25,2021/12/25 12:32,2021/12/25 12:34,城市,荷兰电网
电话,2904,已核实,2021/12/25 12:22,2021/12/25 12:22,2021/12/25 12:40,2021/12/25 12:41,城市,西班牙电网
电话,2905,已核实,2021/12/25 12:19,2021/12/25 12:19,2021/12/25 12:40,2021/12/25 14:01,郊区,法国电网
电话,2906,已核实,2021/12/25 12:16,2021/12/25 12:27,2021/12/25 12:28,2021/12/25 13:06,郊区,荷兰电网
电话,2907,已核实,2021/12/25 12:15,2021/12/25 12:22,2021/12/25 13:03,2021/12/25 13:17,郊区,西班牙电网
电话,2908,已核实,2021/12/25 12:14,2021/12/25 12:15,2021/12/25 12:16,2021/12/25 12:36,城市,荷兰电网
网络,2909,已核实,2021/12/25 12:14,2021/12/25 12:17,2021/12/25 12:18,2021/12/25 12:25,城市,法国电网
电话,2910,已核实,2021/12/25 12:13,2021/12/25 12:14,2021/12/25 12:22,2021/12/25 12:36,城市,荷兰电网
网络,2911,已核实,2021/12/25 12:12,2021/12/25 12:13,2021/12/25 12:18,2021/12/25 12:33,城市,荷兰电网
电话,2912,已核实,2021/12/25 12:12,2021/12/25 12:12,2021/12/25 12:34,2021/12/25 12:50,郊区,法国电网
网络,2913,已核实,2021/12/25 12:11,2021/12/25 12:13,2021/12/25 12:15,2021/12/25 13:05,城市,法国电网
电话,2914,已核实,2021/12/25 12:11,2021/12/25 12:12,2021/12/25 12:28,2021/12/25 13:09,城市,比利时电网
电话,2915,已核实,2021/12/25 12:11,2021/12/25 12:11,2021/12/25 12:34,2021/12/25 12:52,郊区,比利时电网
电话,2916,已核实,2021/12/25 12:10,2021/12/25 12:10,2021/12/25 12:23,2021/12/25 13:05,城市,德国电网
电话,2917,已核实,2021/12/25 12:08,2021/12/25 12:08,2021/12/25 12:13,2021/12/25 12:35,特殊边远山区,荷兰电网
电话,2918,已核实,2021/12/25 12:06,2021/12/25 12:07,2021/12/25 12:31,2021/12/25 13:18,城市,西班牙电网
电话,2919,已核实,2021/12/25 12:05,2021/12/25 12:05,2021/12/25 12:09,2021/12/25 12:32,城市,荷兰电网
电话,2920,已核实,2021/12/25 12:04,2021/12/25 12:05,2021/12/25 12:14,2021/12/25 13:10,城市,荷兰电网
电话,2921,已核实,2021/12/25 12:04,2021/12/25 12:05,2021/12/25 12:19,2021/12/25 12:40,城市,荷兰电网
电话,2922,已核实,2021/12/25 12:02,2021/12/25 12:02,2021/12/25 12:12,2021/12/25 12:48,城市,意大利电网
电话,2923,已核实,2021/12/25 12:00,2021/12/25 12:00,2021/12/25 12:25,2021/12/25 12:50,特殊边远山区,比利时电网
网络,2924,已核实,2021/12/25 11:58,2021/12/25 11:58,2021/12/25 12:12,2021/12/25 12:51,城市,荷兰电网
电话,2925,已核实,2021/12/25 11:56,2021/12/25 12:06,2021/12/25 12:25,2021/12/25 12:44,城市,丹麦电网
电话,2926,已核实,2021/12/25 11:54,2021/12/25 11:54,2021/12/25 12:16,2021/12/25 13:36,郊区,丹麦电网
电话,2927,已核实,2021/12/25 11:53,2021/12/25 11:53,2021/12/25 12:01,2021/12/25 12:46,郊区,西班牙电网
电话,2928,已核实,2021/12/25 11:53,2021/12/25 11:53,2021/12/25 12:04,2021/12/25 13:05,郊区,比利时电网
网络,2929,已核实,2021/12/25 11:51,2021/12/25 11:51,2021/12/25 11:58,2021/12/25 12:37,城市,荷兰电网
电话,2930,已核实,2021/12/25 11:51,2021/12/25 11:51,2021/12/25 12:03,2021/12/25 12:24,郊区,法国电网
网络,2931,已核实,2021/12/25 11:51,2021/12/25 11:53,2021/12/25 12:07,2021/12/25 12:08,城市,法国电网
网络,2932,已核实,2021/12/25 11:50,2021/12/25 11:51,2021/12/25 11:57,2021/12/25 11:57,城市,荷兰电网
电话,2933,已核实,2021/12/25 11:50,2021/12/25 11:53,2021/12/25 11:54,2021/12/25 11:54,城市,丹麦电网
网络,2934,已核实,2021/12/25 11:49,2021/12/25 11:54,2021/12/25 12:09,2021/12/25 12:10,城市,法国电网
网络,2935,已核实,2021/12/25 11:49,2021/12/25 11:52,2021/12/25 12:02,2021/12/25 12:05,城市,法国电网
电话,2936,已核实,2021/12/25 11:48,2021/12/25 11:49,2021/12/25 11:52,2021/12/25 11:53,郊区,法国电网
电话,2937,已核实,2021/12/25 11:48,2021/12/25 11:48,2021/12/25 12:07,2021/12/25 12:25,郊区,法国电网
电话,2938,已核实,2021/12/25 11:47,2021/12/25 11:48,2021/12/25 11:53,2021/12/25 12:41,城市,荷兰电网
电话,2939,已核实,2021/12/25 11:47,2021/12/25 11:48,2021/12/25 11:59,2021/12/25 12:30,城市,比利时电网
电话,2940,已核实,2021/12/25 11:47,2021/12/25 11:47,2021/12/25 12:13,2021/12/25 12:35,郊区,比利时电网
电话,2941,已核实,2021/12/25 11:44,2021/12/25 11:45,2021/12/25 12:05,2021/12/25 12:20,郊区,荷兰电网
电话,2942,已核实,2021/12/25 11:44,2021/12/25 11:45,2021/12/25 11:54,2021/12/25 12:24,城市,荷兰电网
电话,2943,已核实,2021/12/25 11:43,2021/12/25 11:43,2021/12/25 12:09,2021/12/25 12:57,城市,法国电网
电话,2944,已核实,2021/12/25 11:41,2021/12/25 11:41,2021/12/25 11:46,2021/12/25 12:31,城市,荷兰电网
电话,2945,已核实,2021/12/25 11:40,2021/12/25 11:41,2021/12/25 11:46,2021/12/25 12:26,城市,荷兰电网
电话,2946,已核实,2021/12/25 11:40,2021/12/25 11:40,2021/12/25 11:45,2021/12/25 12:15,城市,德国电网
电话,2947,已核实,2021/12/25 11:39,2021/12/25 11:39,2021/12/25 12:04,2021/12/25 12:25,郊区,比利时电网
电话,2948,已核实,2021/12/25 11:39,2021/12/25 11:39,2021/12/25 11:49,2021/12/25 12:44,城市,荷兰电网
电话,2949,已核实,2021/12/25 11:38,2021/12/25 11:39,2021/12/25 11:55,2021/12/25 12:21,城市,比利时电网
电话,2950,已核实,2021/12/25 11:38,2021/12/25 11:39,2021/12/25 12:05,2021/12/25 12:30,城市,比利时电网
电话,2951,已核实,2021/12/25 11:38,2021/12/25 11:38,2021/12/25 11:54,2021/12/25 12:11,城市,荷兰电网
电话,2952,已核实,2021/12/25 11:37,2021/12/25 11:37,2021/12/25 11:59,2021/12/25 12:33,城市,法国电网
电话,2953,已核实,2021/12/25 11:37,2021/12/25 11:51,2021/12/25 12:04,2021/12/25 12:20,城市,法国电网
电话,2954,已核实,2021/12/25 11:34,2021/12/25 11:34,2021/12/25 11:55,2021/12/25 12:14,城市,德国电网
电话,2955,已核实,2021/12/25 11:33,2021/12/25 11:33,2021/12/25 11:51,2021/12/25 12:19,郊区,比利时电网
电话,2956,已核实,2021/12/25 11:32,2021/12/25 11:32,2021/12/25 11:49,2021/12/25 11:50,郊区,荷兰电网
电话,2957,已核实,2021/12/25 11:30,2021/12/25 11:31,2021/12/25 11:42,2021/12/25 12:20,城市,法国电网
电话,2958,已核实,2021/12/25 11:30,2021/12/25 11:30,2021/12/25 11:33,2021/12/25 12:07,郊区,法国电网
电话,2959,已核实,2021/12/25 11:29,2021/12/25 11:29,2021/12/25 11:40,2021/12/25 12:25,城市,荷兰电网
电话,2960,已核实,2021/12/25 11:27,2021/12/25 11:27,2021/12/25 11:39,2021/12/25 12:16,郊区,比利时电网
网络,2961,已核实,2021/12/25 11:26,2021/12/25 11:29,2021/12/25 11:43,2021/12/25 11:46,城市,法国电网
电话,2962,已核实,2021/12/25 11:26,2021/12/25 11:28,2021/12/25 11:34,2021/12/25 12:02,城市,法国电网
电话,2963,已核实,2021/12/25 11:24,2021/12/25 11:24,2021/12/25 11:45,2021/12/25 12:37,城市,西班牙电网
电话,2964,已核实,2021/12/25 11:23,2021/12/25 11:24,2021/12/25 11:32,2021/12/25 12:17,城市,荷兰电网
电话,2965,已核实,2021/12/25 11:23,2021/12/25 11:23,2021/12/25 11:35,2021/12/25 11:56,郊区,比利时电网
电话,2966,已核实,2021/12/25 11:21,2021/12/25 11:21,2021/12/25 11:42,2021/12/25 12:01,郊区,比利时电网
电话,2967,已核实,2021/12/25 11:18,2021/12/25 11:19,2021/12/25 11:31,2021/12/25 11:53,郊区,荷兰电网
网络,2968,已核实,2021/12/25 11:17,2021/12/25 11:20,2021/12/25 11:27,2021/12/25 11:35,城市,法国电网
网络,2969,已核实,2021/12/25 11:15,2021/12/25 11:18,2021/12/25 11:29,2021/12/25 12:51,城市,法国电网
电话,2970,已核实,2021/12/25 11:15,2021/12/25 11:15,2021/12/25 11:27,2021/12/25 12:18,城市,荷兰电网
电话,2971,已核实,2021/12/25 11:14,2021/12/25 11:14,2021/12/25 12:00,2021/12/25 12:50,郊区,德国电网
电话,2972,已核实,2021/12/25 11:13,2021/12/25 11:13,2021/12/25 11:30,2021/12/25 11:53,城市,荷兰电网
电话,2973,已核实,2021/12/25 11:06,2021/12/25 11:07,2021/12/25 11:13,2021/12/25 12:15,郊区,荷兰电网
电话,2974,已核实,2021/12/25 11:00,2021/12/25 11:01,2021/12/25 11:32,2021/12/25 11:48,郊区,比利时电网
网络,2975,已核实,2021/12/25 10:54,2021/12/25 11:02,2021/12/25 11:28,2021/12/25 11:29,城市,法国电网
网络,2976,已核实,2021/12/25 10:54,2021/12/25 11:19,2021/12/25 11:22,2021/12/25 11:22,城市,法国电网
网络,2977,已核实,2021/12/25 10:40,2021/12/25 10:43,2021/12/25 10:56,2021/12/25 11:13,城市,法国电网
电话,2978,已核实,2021/12/25 10:37,2021/12/25 10:37,2021/12/25 10:45,2021/12/25 11:09,郊区,法国电网
电话,2979,已核实,2021/12/25 10:36,2021/12/25 10:36,2021/12/25 10:50,2021/12/25 10:53,城市,法国电网
网络,2980,已核实,2021/12/25 10:35,2021/12/25 10:37,2021/12/25 10:43,2021/12/25 11:12,城市,法国电网
电话,2981,已核实,2021/12/25 10:35,2021/12/25 10:35,2021/12/25 10:42,2021/12/25 10:44,城市,荷兰电网
网络,2982,已核实,2021/12/25 10:33,2021/12/25 10:36,2021/12/25 10:43,2021/12/25 11:08,城市,法国电网
电话,2983,已核实,2021/12/25 10:31,2021/12/25 10:32,2021/12/25 10:45,2021/12/25 10:56,郊区,德国电网
网络,2984,已核实,2021/12/25 10:30,2021/12/25 10:34,2021/12/25 10:43,2021/12/25 11:04,城市,法国电网
网络,2985,已核实,2021/12/25 10:23,2021/12/25 10:26,2021/12/25 10:39,2021/12/25 12:30,城市,法国电网
电话,2986,已核实,2021/12/25 10:17,2021/12/25 11:13,2021/12/25 11:18,2021/12/25 11:23,郊区,西班牙电网
电话,2987,已核实,2021/12/25 10:11,2021/12/25 10:42,2021/12/25 10:44,2021/12/25 11:56,城市,西班牙电网
电话,2988,已核实,2021/12/25 10:09,2021/12/25 10:42,2021/12/25 10:47,2021/12/25 11:57,城市,西班牙电网
网络,2989,已核实,2021/12/25 10:01,2021/12/25 10:04,2021/12/25 10:13,2021/12/25 10:40,城市,法国电网
网络,2990,已核实,2021/12/25 9:59,2021/12/25 10:03,2021/12/25 10:15,2021/12/25 10:52,城市,法国电网
电话,2991,已核实,2021/12/25 9:56,2021/12/25 10:02,2021/12/25 10:23,2021/12/25 10:30,郊区,比利时电网
电话,2992,已核实,2021/12/25 9:39,2021/12/25 9:51,2021/12/25 9:57,2021/12/25 10:15,郊区,法国电网
网络,2993,已核实,2021/12/25 9:28,2021/12/25 9:31,2021/12/25 9:41,2021/12/25 10:58,城市,法国电网
电话,2994,已核实,2021/12/25 9:26,2021/12/25 9:27,2021/12/25 9:43,2021/12/25 10:25,城市,比利时电网
网络,2995,已核实,2021/12/25 9:21,2021/12/25 9:25,2021/12/25 9:37,2021/12/25 9:38,城市,法国电网
网络,2996,已核实,2021/12/25 9:15,2021/12/25 9:19,2021/12/25 9:33,2021/12/25 10:23,城市,法国电网
网络,2997,已核实,2021/12/25 9:14,2021/12/25 9:19,2021/12/25 9:24,2021/12/25 9:53,城市,法国电网
电话,2998,已核实,2021/12/25 9:14,2021/12/25 9:16,2021/12/25 9:24,2021/12/25 9:59,城市,意大利电网
电话,2999,已核实,2021/12/25 9:11,2021/12/25 9:12,2021/12/25 9:17,2021/12/25 9:30,城市,法国电网
网络,3000,已核实,2021/12/25 8:43,2021/12/25 8:46,2021/12/25 8:57,2021/12/25 9:32,城市,法国电网
网络,3001,已核实,2021/12/25 8:40,2021/12/25 8:43,2021/12/25 8:49,2021/12/25 8:54,城市,法国电网
电话,3002,已核实,2021/12/25 8:38,2021/12/25 8:38,2021/12/25 9:00,2021/12/25 9:30,特殊边远山区,比利时电网
电话,3003,已核实,2021/12/25 8:33,2021/12/25 8:33,2021/12/25 8:44,2021/12/25 9:29,城市,法国电网
电话,3004,已核实,2021/12/25 8:26,2021/12/25 8:39,2021/12/25 8:44,2021/12/25 9:30,郊区,法国电网
电话,3005,已核实,2021/12/25 8:20,2021/12/25 8:30,2021/12/25 8:47,2021/12/25 8:49,郊区,法国电网
电话,3006,已核实,2021/12/25 8:18,2021/12/25 8:40,2021/12/25 8:45,2021/12/25 9:08,郊区,比利时电网
网络,3007,已核实,2021/12/25 7:58,2021/12/25 11:16,2021/12/25 11:20,2021/12/25 11:23,城市,德国电网
电话,3008,已核实,2021/12/25 7:43,2021/12/25 7:43,2021/12/25 7:59,2021/12/25 8:33,城市,荷兰电网
电话,3009,已核实,2021/12/25 7:35,2021/12/25 9:28,2021/12/25 9:29,2021/12/25 9:29,城市,德国电网
电话,3010,已核实,2021/12/25 7:31,2021/12/25 7:31,2021/12/25 7:35,2021/12/25 7:50,城市,法国电网
电话,3011,已核实,2021/12/25 7:27,2021/12/25 7:27,2021/12/25 7:32,2021/12/25 8:27,城市,法国电网
电话,3012,已核实,2021/12/25 7:21,2021/12/25 7:21,2021/12/25 7:34,2021/12/25 9:35,城市,荷兰电网
电话,3013,已核实,2021/12/25 7:20,2021/12/25 9:03,2021/12/25 9:14,2021/12/25 9:18,郊区,德国电网
电话,3014,已核实,2021/12/25 7:09,2021/12/25 7:09,2021/12/25 7:28,2021/12/25 8:16,郊区,丹麦电网
网络,3015,已核实,2021/12/25 6:14,2021/12/25 6:27,2021/12/25 6:29,2021/12/25 9:31,城市,荷兰电网
电话,3016,已核实,2021/12/25 6:05,2021/12/25 6:08,2021/12/25 6:08,2021/12/25 6:09,城市,比利时电网
网络,3017,已核实,2021/12/24 23:59,2021/12/25 0:03,2021/12/25 1:19,2021/12/25 11:28,郊区,法国电网
电话,3018,已核实,2021/12/24 23:58,2021/12/24 23:58,2021/12/25 1:20,2021/12/25 11:34,郊区,法国电网
电话,3019,已核实,2021/12/24 23:27,2021/12/24 23:27,2021/12/24 23:45,2021/12/24 23:52,城市,西班牙电网
电话,3020,已核实,2021/12/24 23:11,2021/12/24 23:11,2021/12/24 23:32,2021/12/24 23:46,郊区,德国电网
电话,3021,已核实,2021/12/24 23:09,2021/12/24 23:09,2021/12/24 23:19,2021/12/24 23:27,郊区,法国电网
电话,3022,已核实,2021/12/24 23:02,2021/12/24 23:12,2021/12/24 23:27,2021/12/24 23:29,郊区,法国电网
电话,3023,已核实,2021/12/24 23:01,2021/12/24 23:01,2021/12/24 23:09,2021/12/24 23:20,城市,法国电网
电话,3024,已核实,2021/12/24 23:00,2021/12/24 23:01,2021/12/24 23:20,2021/12/24 23:30,城市,比利时电网
网络,3025,已核实,2021/12/24 22:58,2021/12/24 22:59,2021/12/24 23:04,2021/12/25 9:36,城市,荷兰电网
电话,3026,已核实,2021/12/24 22:55,2021/12/24 22:55,2021/12/24 23:24,2021/12/24 23:53,郊区,比利时电网
电话,3027,已核实,2021/12/24 22:51,2021/12/24 22:51,2021/12/24 23:16,2021/12/24 23:17,郊区,比利时电网
电话,3028,已核实,2021/12/24 22:50,2021/12/24 22:50,2021/12/24 23:00,2021/12/24 23:14,城市,西班牙电网
电话,3029,已核实,2021/12/24 22:49,2021/12/24 22:49,2021/12/24 23:06,2021/12/24 23:29,郊区,比利时电网
电话,3030,已核实,2021/12/24 22:45,2021/12/24 22:45,2021/12/24 22:57,2021/12/24 22:58,城市,比利时电网
网络,3031,已核实,2021/12/24 22:43,2021/12/24 22:44,2021/12/24 22:46,2021/12/24 22:47,特殊边远山区,荷兰电网
电话,3032,已核实,2021/12/24 22:43,2021/12/24 22:44,2021/12/24 22:55,2021/12/24 22:58,城市,丹麦电网
电话,3033,已核实,2021/12/24 22:33,2021/12/24 22:33,2021/12/24 22:38,2021/12/24 23:15,郊区,法国电网
电话,3034,已核实,2021/12/24 22:33,2021/12/24 22:33,2021/12/24 22:47,2021/12/24 23:15,郊区,荷兰电网
电话,3035,已核实,2021/12/24 22:26,2021/12/24 22:27,2021/12/24 22:38,2021/12/24 23:14,郊区,法国电网
电话,3036,已核实,2021/12/24 22:11,2021/12/24 22:14,2021/12/24 22:18,2021/12/24 22:56,郊区,德国电网
电话,3037,已核实,2021/12/24 22:09,2021/12/24 22:09,2021/12/24 22:21,2021/12/24 22:25,特殊边远山区,荷兰电网
电话,3038,已核实,2021/12/24 22:04,2021/12/24 22:39,2021/12/24 22:47,2021/12/24 23:22,郊区,丹麦电网
电话,3039,已核实,2021/12/24 22:02,2021/12/24 22:03,2021/12/24 22:24,2021/12/24 23:04,郊区,比利时电网
电话,3040,已核实,2021/12/24 21:59,2021/12/24 21:59,2021/12/24 22:13,2021/12/24 23:04,郊区,法国电网
电话,3041,已核实,2021/12/24 21:59,2021/12/24 21:59,2021/12/24 22:18,2021/12/24 22:45,郊区,法国电网
网络,3042,已核实,2021/12/24 21:56,2021/12/24 21:59,2021/12/24 22:03,2021/12/24 22:39,郊区,法国电网
电话,3043,已核实,2021/12/24 21:53,2021/12/24 21:54,2021/12/24 22:03,2021/12/24 22:36,郊区,法国电网
网络,3044,已核实,2021/12/24 21:48,2021/12/24 21:52,2021/12/24 21:56,2021/12/24 22:48,郊区,法国电网
网络,3045,已核实,2021/12/24 21:47,2021/12/24 21:57,2021/12/24 22:17,2021/12/24 23:01,郊区,法国电网
网络,3046,已核实,2021/12/24 21:44,2021/12/24 21:47,2021/12/24 21:58,2021/12/24 22:29,郊区,法国电网
网络,3047,已核实,2021/12/24 21:43,2021/12/24 21:46,2021/12/24 21:58,2021/12/24 22:30,郊区,法国电网
电话,3048,已核实,2021/12/24 21:43,2021/12/24 21:43,2021/12/24 21:58,2021/12/24 22:46,郊区,德国电网
电话,3049,已核实,2021/12/24 21:39,2021/12/24 21:40,2021/12/24 21:50,2021/12/24 21:55,郊区,德国电网
电话,3050,已核实,2021/12/24 21:36,2021/12/24 21:37,2021/12/24 21:44,2021/12/24 22:06,城市,荷兰电网
电话,3051,已核实,2021/12/24 21:33,2021/12/24 21:33,2021/12/24 21:36,2021/12/24 22:53,城市,德国电网
电话,3052,已核实,2021/12/24 21:32,2021/12/24 21:32,2021/12/24 21:36,2021/12/24 22:51,郊区,德国电网
网络,3053,已核实,2021/12/24 21:30,2021/12/24 21:41,2021/12/24 21:48,2021/12/24 23:02,郊区,法国电网
网络,3054,已核实,2021/12/24 21:29,2021/12/24 21:37,2021/12/24 21:41,2021/12/24 23:02,郊区,法国电网
电话,3055,已核实,2021/12/24 21:28,2021/12/24 21:31,2021/12/24 21:36,2021/12/24 22:30,城市,法国电网
电话,3056,已核实,2021/12/24 21:28,2021/12/24 21:28,2021/12/24 21:41,2021/12/24 22:03,城市,荷兰电网
电话,3057,已核实,2021/12/24 21:27,2021/12/24 21:37,2021/12/24 21:44,2021/12/24 22:01,郊区,荷兰电网
电话,3058,已核实,2021/12/24 21:25,2021/12/24 21:25,2021/12/24 21:30,2021/12/24 21:42,城市,荷兰电网
电话,3059,已核实,2021/12/24 21:22,2021/12/24 21:22,2021/12/24 21:24,2021/12/24 22:09,郊区,法国电网
电话,3060,已核实,2021/12/24 21:21,2021/12/24 21:21,2021/12/24 21:35,2021/12/24 22:20,城市,法国电网
网络,3061,已核实,2021/12/24 21:20,2021/12/24 21:21,2021/12/24 21:28,2021/12/24 21:53,城市,荷兰电网
电话,3062,已核实,2021/12/24 21:20,2021/12/24 21:20,2021/12/24 21:24,2021/12/24 22:27,郊区,法国电网
电话,3063,已核实,2021/12/24 21:19,2021/12/24 21:21,2021/12/24 21:36,2021/12/24 21:50,城市,比利时电网
电话,3064,已核实,2021/12/24 21:19,2021/12/24 21:19,2021/12/24 21:30,2021/12/24 21:37,郊区,荷兰电网
电话,3065,已核实,2021/12/24 21:18,2021/12/24 21:18,2021/12/24 21:30,2021/12/24 21:39,城市,法国电网
电话,3066,已核实,2021/12/24 21:17,2021/12/24 21:18,2021/12/24 21:40,2021/12/24 21:56,城市,德国电网
电话,3067,已核实,2021/12/24 21:16,2021/12/24 21:17,2021/12/24 21:32,2021/12/24 21:49,郊区,比利时电网
电话,3068,已核实,2021/12/24 21:13,2021/12/24 21:13,2021/12/24 21:21,2021/12/24 21:51,城市,荷兰电网
电话,3069,已核实,2021/12/24 21:10,2021/12/24 21:33,2021/12/24 21:39,2021/12/24 21:50,郊区,德国电网
电话,3070,已核实,2021/12/24 21:09,2021/12/24 21:09,2021/12/24 21:22,2021/12/24 21:23,城市,德国电网
电话,3071,已核实,2021/12/24 21:09,2021/12/24 21:09,2021/12/24 21:27,2021/12/24 21:35,郊区,比利时电网
电话,3072,已核实,2021/12/24 21:08,2021/12/24 21:09,2021/12/24 21:21,2021/12/24 21:24,城市,荷兰电网
电话,3073,已核实,2021/12/24 21:08,2021/12/24 21:10,2021/12/24 21:24,2021/12/24 21:54,郊区,荷兰电网
电话,3074,已核实,2021/12/24 21:08,2021/12/24 21:09,2021/12/24 21:10,2021/12/24 22:09,郊区,法国电网
网络,3075,已核实,2021/12/24 21:05,2021/12/24 21:08,2021/12/24 21:11,2021/12/24 21:17,郊区,法国电网
网络,3076,已核实,2021/12/24 21:03,2021/12/24 21:06,2021/12/24 21:16,2021/12/24 21:55,城市,法国电网
电话,3077,已核实,2021/12/24 21:03,2021/12/24 21:03,2021/12/24 21:10,2021/12/24 21:19,郊区,法国电网
电话,3078,已核实,2021/12/24 21:01,2021/12/24 21:01,2021/12/24 21:04,2021/12/24 22:48,城市,德国电网
网络,3079,已核实,2021/12/24 20:59,2021/12/24 21:03,2021/12/24 21:07,2021/12/24 21:21,郊区,法国电网
网络,3080,已核实,2021/12/24 20:59,2021/12/24 21:03,2021/12/24 21:07,2021/12/24 21:20,郊区,法国电网
电话,3081,已核实,2021/12/24 20:58,2021/12/24 20:58,2021/12/24 21:02,2021/12/24 22:46,郊区,德国电网
电话,3082,已核实,2021/12/24 20:57,2021/12/24 20:57,2021/12/24 21:08,2021/12/24 22:20,特殊边远山区,荷兰电网
电话,3083,已核实,2021/12/24 20:57,2021/12/24 20:57,2021/12/24 21:17,2021/12/24 21:23,城市,西班牙电网
电话,3084,已核实,2021/12/24 20:56,2021/12/24 20:56,2021/12/24 21:02,2021/12/24 22:43,郊区,德国电网
电话,3085,已核实,2021/12/24 20:56,2021/12/24 20:56,2021/12/24 21:01,2021/12/24 22:38,城市,德国电网
电话,3086,已核实,2021/12/24 20:56,2021/12/24 20:56,2021/12/24 21:08,2021/12/24 22:06,城市,荷兰电网
电话,3087,已核实,2021/12/24 20:55,2021/12/24 20:55,2021/12/24 21:01,2021/12/24 22:30,城市,德国电网
电话,3088,已核实,2021/12/24 20:52,2021/12/24 20:52,2021/12/24 21:01,2021/12/24 21:50,郊区,荷兰电网
电话,3089,已核实,2021/12/24 20:52,2021/12/24 20:58,2021/12/24 20:59,2021/12/24 21:10,城市,比利时电网
电话,3090,已核实,2021/12/24 20:47,2021/12/24 20:47,2021/12/24 21:02,2021/12/24 22:04,特殊边远山区,荷兰电网
电话,3091,已核实,2021/12/24 20:45,2021/12/24 20:46,2021/12/24 20:48,2021/12/24 21:35,郊区,法国电网
网络,3092,已核实,2021/12/24 20:40,2021/12/24 20:47,2021/12/24 20:49,2021/12/24 21:15,城市,法国电网
网络,3093,已核实,2021/12/24 20:37,2021/12/24 21:09,2021/12/24 21:12,2021/12/24 21:13,郊区,法国电网
电话,3094,已核实,2021/12/24 20:36,2021/12/24 20:36,2021/12/24 20:47,2021/12/24 20:57,城市,法国电网
电话,3095,已核实,2021/12/24 20:36,2021/12/24 20:36,2021/12/24 20:41,2021/12/24 21:04,郊区,法国电网
电话,3096,已核实,2021/12/24 20:35,2021/12/24 20:36,2021/12/24 20:46,2021/12/24 21:04,城市,法国电网
电话,3097,已核实,2021/12/24 20:35,2021/12/24 20:36,2021/12/24 21:05,2021/12/24 21:21,城市,比利时电网
电话,3098,已核实,2021/12/24 20:33,2021/12/24 20:34,2021/12/24 20:52,2021/12/24 21:09,城市,比利时电网
网络,3099,已核实,2021/12/24 20:29,2021/12/24 20:35,2021/12/24 20:36,2021/12/24 20:40,城市,法国电网
电话,3100,已核实,2021/12/24 20:26,2021/12/24 20:27,2021/12/24 20:32,2021/12/24 20:33,城市,法国电网
电话,3101,已核实,2021/12/24 20:26,2021/12/24 20:27,2021/12/24 20:48,2021/12/24 20:49,城市,比利时电网
电话,3102,已核实,2021/12/24 20:25,2021/12/24 20:25,2021/12/24 20:46,2021/12/24 21:09,郊区,西班牙电网
电话,3103,已核实,2021/12/24 20:23,2021/12/24 20:23,2021/12/24 20:27,2021/12/24 20:31,郊区,荷兰电网
电话,3104,已核实,2021/12/24 20:22,2021/12/24 20:26,2021/12/24 20:37,2021/12/24 20:46,郊区,丹麦电网
电话,3105,已核实,2021/12/24 20:18,2021/12/24 20:42,2021/12/24 20:43,2021/12/24 20:53,郊区,荷兰电网
网络,3106,已核实,2021/12/24 20:15,2021/12/24 20:18,2021/12/24 20:22,2021/12/24 20:24,郊区,法国电网
电话,3107,已核实,2021/12/24 20:15,2021/12/24 20:15,2021/12/24 20:33,2021/12/24 20:37,城市,法国电网
电话,3108,已核实,2021/12/24 20:13,2021/12/24 20:13,2021/12/24 20:23,2021/12/24 20:45,郊区,比利时电网
网络,3109,已核实,2021/12/24 20:13,2021/12/24 20:18,2021/12/24 20:23,2021/12/24 20:26,郊区,法国电网
电话,3110,已核实,2021/12/24 20:12,2021/12/24 20:12,2021/12/24 20:23,2021/12/24 21:10,特殊边远山区,荷兰电网
电话,3111,已核实,2021/12/24 20:11,2021/12/24 20:12,2021/12/24 20:32,2021/12/24 21:15,城市,比利时电网
电话,3112,已核实,2021/12/24 20:05,2021/12/24 20:05,2021/12/24 20:20,2021/12/24 20:57,城市,荷兰电网
电话,3113,已核实,2021/12/24 20:05,2021/12/24 20:05,2021/12/24 20:19,2021/12/24 20:43,城市,比利时电网
电话,3114,已核实,2021/12/24 20:03,2021/12/24 20:03,2021/12/24 20:20,2021/12/24 20:55,城市,荷兰电网
电话,3115,已核实,2021/12/24 20:00,2021/12/24 20:01,2021/12/24 20:15,2021/12/24 20:20,郊区,荷兰电网
